mode,auc_mean,auc_std,f1_mean,ks_mean,train_mean,trainable_params,total_params
full,0.7413,0.0011,0.2556,0.3674,129.2472,260353.0000,260353.0000
lora,0.7436,0.0009,0.2564,0.3717,165.5556,11833.0000,272057.0000
