model,category,mean_abs_shap,pct_total
LoRA MLP,External credit score,0.1632059935204141,23.325498459476137
LoRA MLP,Employment,0.09822948270495441,14.03901657093836
LoRA MLP,Other,0.06118578306186287,8.744708804905551
LoRA MLP,Credit terms,0.054009070769863304,7.719008780658582
LoRA MLP,Housing / assets,0.04470128039347648,6.388733798702228
LoRA MLP,Gender (demographic),0.043016796047513337,6.147986285885793
LoRA MLP,Region,0.038789219095130556,5.543778452808958
LoRA MLP,Education / suite,0.03778680880620638,5.400513373226331
LoRA MLP,Documents,0.03392417785541238,4.848463841534342
LoRA MLP,Family,0.030411085318621776,4.346370549570426
LoRA MLP,Age (demographic),0.02841880414391434,4.061632529421252
LoRA MLP,Application timing,0.022804948619796817,3.2592969315980875
LoRA MLP,Registration history,0.02101046660944409,3.0028284866276245
LoRA MLP,Phone / contact (alt-data proxy),0.020212193215588346,2.8887387744976962
LoRA MLP,Income,0.0019830896375616345,0.2834243601486433
XGBoost,External credit score,0.7547651529312134,30.184385299682617
XGBoost,Credit terms,0.390683650970459,15.624126434326172
XGBoost,Employment,0.2524774670600891,10.097018241882324
XGBoost,Other,0.18206533789634705,7.2811126708984375
XGBoost,Gender (demographic),0.15276026725769043,6.109151840209961
XGBoost,Education / suite,0.12829476594924927,5.130733013153076
XGBoost,Age (demographic),0.11367213726043701,4.5459489822387695
XGBoost,Housing / assets,0.10550225526094437,4.2192206382751465
XGBoost,Registration history,0.08828111737966537,3.530517101287842
XGBoost,Region,0.07835748046636581,3.133653402328491
XGBoost,Documents,0.07185903191566467,2.8737690448760986
XGBoost,Family,0.06463482230901718,2.584860324859619
XGBoost,Phone / contact (alt-data proxy),0.06138801574707031,2.455014705657959
XGBoost,Application timing,0.03261518478393555,1.3043385744094849
XGBoost,Income,0.02315831184387207,0.926141619682312
