feature,mean_abs_shap
OCCUPATION_TYPE_Private service staff,0.0001497523
ORGANIZATION_TYPE_Medicine,0.00014394466
ORGANIZATION_TYPE_Insurance,0.00014301203
ORGANIZATION_TYPE_Housing,0.00013982087
ORGANIZATION_TYPE_Industry: type 12,0.00013896934
ORGANIZATION_TYPE_Industry: type 3,0.00013007507
ORGANIZATION_TYPE_Culture,0.000114598
ORGANIZATION_TYPE_Advertising,0.000103570375
ORGANIZATION_TYPE_Postal,0.00010310862
ORGANIZATION_TYPE_Telecom,9.049621e-05
ORGANIZATION_TYPE_Hotel,7.2617615e-05
ORGANIZATION_TYPE_Industry: type 4,6.246128e-05
NAME_HOUSING_TYPE_Co-op apartment,5.8238355e-05
ORGANIZATION_TYPE_Agriculture,5.8196547e-05
ORGANIZATION_TYPE_Electricity,5.151471e-05
OCCUPATION_TYPE_Waiters/barmen staff,4.8246096e-05
ORGANIZATION_TYPE_Industry: type 7,3.344168e-05
AMT_REQ_CREDIT_BUREAU_HOUR,3.2956497e-05
FLAG_CONT_MOBILE,3.1509095e-05
ORGANIZATION_TYPE_Trade: type 1,3.124356e-05
OCCUPATION_TYPE_HR staff,3.0083074e-05
ORGANIZATION_TYPE_Industry: type 1,2.9736155e-05
ORGANIZATION_TYPE_Mobile,2.9562714e-05
NAME_TYPE_SUITE_Other_B,2.6576661e-05
FLAG_DOCUMENT_9,2.250911e-05
ORGANIZATION_TYPE_Trade: type 4,2.1929183e-05
NAME_TYPE_SUITE_Other_A,1.914909e-05
OCCUPATION_TYPE_IT staff,1.9120338e-05
ORGANIZATION_TYPE_Industry: type 5,1.7689248e-05
ORGANIZATION_TYPE_Trade: type 3,1.1513612e-05
FLAG_DOCUMENT_2,1.0066242e-05
OCCUPATION_TYPE_Realty agents,7.2922426e-06
ORGANIZATION_TYPE_Industry: type 2,7.176918e-06
FLAG_DOCUMENT_19,6.9459875e-06
ORGANIZATION_TYPE_Emergency,6.7696e-06
ORGANIZATION_TYPE_Industry: type 10,6.7589854e-06
NAME_TYPE_SUITE_Group of people,6.025572e-06
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_4,0.0
FLAG_MOBIL,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
NAME_FAMILY_STATUS_Unknown,0.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,0.0
CODE_GENDER_XNA,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_XNA,0.0
