feature,mean_abs_shap
OCCUPATION_TYPE_Secretaries,0.0006934166489686761
OCCUPATION_TYPE_Low-skill Laborers,0.0006891970936366213
ORGANIZATION_TYPE_Restaurant,0.0006548703788512015
FLAG_DOCUMENT_18,0.0006123022419191748
FLAG_DOCUMENT_5,0.0005888898437624062
ORGANIZATION_TYPE_Security Ministries,0.0005433685049956773
ORGANIZATION_TYPE_Agriculture,0.0005256123132282109
NAME_HOUSING_TYPE_Office apartment,0.0004733202104305948
NAME_TYPE_SUITE_Other_B,0.0004309712362233522
NAME_HOUSING_TYPE_Rented apartment,0.00043082069834342085
ORGANIZATION_TYPE_Housing,0.00041945680106645185
NAME_EDUCATION_TYPE_Lower secondary,0.00035367577805802135
FLAG_DOCUMENT_14,0.0003512018479086904
NAME_TYPE_SUITE_Other_A,0.00033009171429595053
ORGANIZATION_TYPE_Transport: type 3,0.00032963696362270936
ORGANIZATION_TYPE_Trade: type 6,0.0003074838578609632
OCCUPATION_TYPE_Private service staff,0.0003046135125693849
FLAG_CONT_MOBILE,0.000300336418991492
ORGANIZATION_TYPE_Postal,0.0002712547368358898
ORGANIZATION_TYPE_Trade: type 4,0.00026645702317289676
ORGANIZATION_TYPE_Industry: type 3,0.00024328896500325987
ORGANIZATION_TYPE_Industry: type 11,0.0002187972828278103
OCCUPATION_TYPE_Waiters/barmen staff,0.000214845416534771
ORGANIZATION_TYPE_Hotel,0.0002126205598152556
FLAG_DOCUMENT_17,0.0002062308316196209
ORGANIZATION_TYPE_Religion,0.00020455533052018057
ORGANIZATION_TYPE_Advertising,0.00019373990514538308
ORGANIZATION_TYPE_Telecom,0.00019185910207907147
ORGANIZATION_TYPE_Trade: type 3,0.00018802446615837504
ORGANIZATION_TYPE_Realtor,0.0001833933537276799
ORGANIZATION_TYPE_Industry: type 7,0.00017902914566953935
OCCUPATION_TYPE_IT staff,0.00017260679008102454
FLAG_DOCUMENT_9,0.00013895252060151648
FLAG_DOCUMENT_19,0.00013001821368916966
ORGANIZATION_TYPE_Industry: type 5,0.00012770665777973362
ORGANIZATION_TYPE_University,0.00012353628930029625
ORGANIZATION_TYPE_Industry: type 4,0.0001130278603988318
ORGANIZATION_TYPE_Industry: type 2,0.00010573720238337614
OCCUPATION_TYPE_Realty agents,0.00010549864578251477
ORGANIZATION_TYPE_Emergency,7.465572571316255e-05
NAME_TYPE_SUITE_Group of people,6.39114351032676e-05
ORGANIZATION_TYPE_Trade: type 1,6.29971443462582e-05
FLAG_DOCUMENT_21,5.738771832661283e-05
ORGANIZATION_TYPE_Culture,3.870144960923274e-05
ORGANIZATION_TYPE_Industry: type 1,3.612053766587106e-05
ORGANIZATION_TYPE_Mobile,2.8572525269417047e-05
ORGANIZATION_TYPE_Transport: type 1,2.3772229695735003e-05
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_7,0.0
FLAG_MOBIL,0.0
OCCUPATION_TYPE_HR staff,0.0
NAME_FAMILY_STATUS_Unknown,0.0
CODE_GENDER_XNA,0.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_EDUCATION_TYPE_Academic degree,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 12,0.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Legal Services,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
